64, Eve Ensler, Eve Ensler: happiness in body and soul, http://video.ted.com/talks/podcast/audio/EveEnsler_2004.mp3
66, Ken Robinson, Ken Robinson says schools kill creativity, http://video.ted.com/talks/podcast/audio/KenRobinson_2006.mp3
67, Peter Donnelly, Peter Donnelly shows how stats fool juries, http://video.ted.com/talks/podcast/audio/PeterDonnelly_2005G.mp3
68, Robert Wright, Robert Wright on optimism, http://video.ted.com/talks/podcast/audio/RobertWright_2006.mp3
69, Wade Davis, Wade Davis on endangered cultures, http://video.ted.com/talks/podcast/audio/WadeDavis_2003.mp3
70, Richard St. John, Richard St. John's 8 secrets of success, http://video.ted.com/talks/podcast/audio/RichardSt.John_2005.mp3
71, Rick Warren, Rick Warren on a life of purpose, http://video.ted.com/talks/podcast/audio/RickWarren_2006.mp3
72, Chris Anderson, Chris Anderson of WIRED on tech's Long Tail, http://video.ted.com/talks/podcast/audio/ChrisAnderson_2004.mp3
73, Carl Honore, Carl Honore praises slowness, http://video.ted.com/talks/podcast/audio/CarlHonore_2005.mp3
74, Alex Steffen, Alex Steffen sees a sustainable future, http://video.ted.com/talks/podcast/audio/AlexSteffen_2005.mp3
75, Sasa Vucinic, Sasa Vucinic invests in free press, http://video.ted.com/talks/podcast/audio/SasaVucinic_2005G.mp3
76, Susan Savage-Rumbaugh, Susan Savage-Rumbaugh on apes, http://video.ted.com/talks/podcast/audio/SusanSavage-Rumbaugh_2004.mp3
77, Sheila Patek, Sheila Patek clocks the fastest animals, http://video.ted.com/talks/podcast/audio/SheilaPatek_2004.mp3
79, Iqbal Quadir, Iqbal Quadir says mobiles fight poverty, http://video.ted.com/talks/podcast/audio/IqbalQuadir_2005G.mp3
80, Juan Enriquez, Juan Enriquez on genomics and our future, http://video.ted.com/talks/podcast/audio/JuanEnriquez_2003.mp3
81, Nora York, Nora York sings "What I Want", http://video.ted.com/talks/podcast/audio/NoraYork_2006S.mp3
83, E.O. Wilson, E.O. Wilson on saving life on Earth, http://video.ted.com/talks/podcast/audio/EOWilson_2007.mp3
84, James Nachtwey, James Nachtwey's searing photos of war, http://video.ted.com/talks/podcast/audio/JamesNachtwey_2007.mp3
85, Bill Clinton, Bill Clinton on rebuilding Rwanda, http://video.ted.com/talks/podcast/audio/BillClinton_2007.mp3
86, Julia Sweeney, Julia Sweeney on letting go of God, http://video.ted.com/talks/podcast/audio/JuliaSweeney_2006.mp3
89, Ben Saunders, Ben Saunders skis to the North Pole, http://video.ted.com/talks/podcast/audio/BenSaunders_2005.mp3
90, Neil Gershenfeld, Neil Gershenfeld on Fab Labs, http://video.ted.com/talks/podcast/audio/NeilGershenfeld_2006.mp3
91, Jacqueline Novogratz, Jacqueline Novogratz invests in ending poverty, http://video.ted.com/talks/podcast/audio/JacquelineNovogratz_2005G.mp3
93, Barry Schwartz, Barry Schwartz on the paradox of choice, http://video.ted.com/talks/podcast/audio/BarrySchwartz_2005G.mp3
94, Dan Dennett, Dan Dennett's response to Rick Warren, http://video.ted.com/talks/podcast/audio/DanDennett_2006.mp3
96, Tony Robbins, Tony Robbins asks why we do what we do, http://video.ted.com/talks/podcast/audio/TonyRobbins_2006.mp3
97, Dan Gilbert, "Dan Gilbert asks, Why are we happy?", http://video.ted.com/talks/podcast/audio/DanGilbert_2004.mp3
98, Richard Dawkins, Richard Dawkins on our "queer" universe, http://video.ted.com/talks/podcast/audio/RichardDawkins_2005G.mp3
102, Dan Dennett, Dan Dennett on our consciousness, http://video.ted.com/talks/podcast/audio/DanDennett_2003.mp3
103, Evelyn Glennie, Evelyn Glennie shows how to listen, http://video.ted.com/talks/podcast/audio/EvelynGlennie_2003.mp3
105, Jeff Bezos, Jeff Bezos on the next web innovation, http://video.ted.com/talks/podcast/audio/JeffBezos_2003.mp3
108, Rives, Rives remixes TED2006, http://video.ted.com/talks/podcast/audio/Rives_2006.mp3
112, Tom Honey, Tom Honey on God and the tsunami, http://video.ted.com/talks/podcast/audio/TomHoney_2005.mp3
113, Richard Dawkins, Richard Dawkins on militant atheism, http://video.ted.com/talks/podcast/audio/RichardDawkins_2002.mp3
118, Sergey Brin and Larry Page, Sergey Brin and Larry Page on Google, http://video.ted.com/talks/podcast/audio/SergeyBrin_LarryPage_2004.mp3
119, Stew, Stew says "Black Men Ski", http://video.ted.com/talks/podcast/audio/Stew_2006.mp3
121, James Howard Kunstler, James Howard Kunstler dissects suburbia, http://video.ted.com/talks/podcast/audio/JamesKunstler2004.mp3
126, Tierney Thys, Tierney Thys swims with the giant sunfish, http://video.ted.com/talks/podcast/audio/TierneyThys_2003.mp3
127, Ngozi Okonjo-Iweala, Ngozi Okonjo-Iweala on doing business in Africa, http://video.ted.com/talks/podcast/audio/NgoziOkonjo-Iweala_2007G.mp3
128, John Doerr, John Doerr sees salvation and profit in greentech, http://video.ted.com/talks/podcast/audio/JohnDoerr_2007.mp3
130, Robert Thurman, Robert Thurman says we can be Buddhas, http://video.ted.com/talks/podcast/audio/BobThurman_2006S.mp3
141, Bill Stone, Bill Stone explores the world's deepest caves, http://video.ted.com/talks/podcast/audio/BillStone_2007.mp3
142, Alan Russell, Alan Russell on regenerating our bodies, http://video.ted.com/talks/podcast/audio/AlanRussell_2006.mp3
143, Emily Oster, Emily Oster flips our thinking on AIDS in Africa, http://video.ted.com/talks/podcast/audio/EmilyOster_2007.mp3
144, Jonathan Harris, Jonathan Harris: the Web's secret stories, http://video.ted.com/talks/podcast/audio/JonathanHarris_2007.mp3
145, Deborah Gordon, Deborah Gordon digs ants, http://video.ted.com/talks/podcast/audio/DeborahGordon_2003.mp3
146, Will Wright, Will Wright makes toys that make worlds, http://video.ted.com/talks/podcast/audio/WillWright_2007.mp3
148, Rives, Rives on 4 a.m., http://video.ted.com/talks/podcast/audio/Rives_20074am.mp3
151, George Ayittey, George Ayittey on Cheetahs vs. Hippos, http://video.ted.com/talks/podcast/audio/GeorgeAyittey_2007G.mp3
152, Ngozi Okonjo-Iweala, Ngozi Okonjo-Iweala on aid versus trade, http://video.ted.com/talks/podcast/audio/NgoziOkonjoIweala_2007.mp3
154, Euvin Naidoo, Euvin Naidoo on investing in Africa, http://video.ted.com/talks/podcast/audio/EuvinNadioo_2007G.mp3
155, Chris Abani, Chris Abani on the stories of Africa, http://video.ted.com/talks/podcast/audio/ChrisAbani_2007G.mp3
156, Patrick Awuah, Patrick Awuah on educating leaders, http://video.ted.com/talks/podcast/audio/PatrickAwuah_2007G.mp3
157, Jacqueline Novogratz, Jacqueline Novogratz on patient capitalism, http://video.ted.com/talks/podcast/audio/JacquelineNovogratz_2007G.mp3
158, Vusi Mahlasela, Vusi Mahlasela sings "Thula Mama", http://video.ted.com/talks/podcast/audio/VusiMahlasela_2008.mp3
159, Andrew Mwenda, Andrew Mwenda takes a new look at Africa, http://video.ted.com/talks/podcast/audio/AndrewMwenda_2007G.mp3
161, Erin McKean, Erin McKean redefines the dictionary, http://video.ted.com/talks/podcast/audio/ErinMcKean_2007.mp3
163, Steven Pinker, Steven Pinker on the myth of violence, http://video.ted.com/talks/podcast/audio/StevenPinker_2007.mp3
164, Steven Pinker, Steven Pinker on language and thought, http://video.ted.com/talks/podcast/audio/StevenPinker_2005G.mp3
167, Stephen Petranek, Stephen Petranek counts down to Armageddon, http://video.ted.com/talks/podcast/audio/StephenPetranek_2002.mp3
168, Zeresenay Alemseged, Zeresenay Alemseged looks for humanity's roots, http://video.ted.com/talks/podcast/audio/ZeresenayAlemseged_2007G.mp3
169, Vusi Mahlasela, "Vusi Mahlasela's encore, \"Woza\"", http://video.ted.com/talks/podcast/audio/VusiMahlasela_2008.mp3
170, Jeff Skoll, Jeff Skoll makes movies that matter, http://video.ted.com/talks/podcast/audio/JeffSkoll_2007.mp3
171, Deborah Scranton, Deborah Scranton on her "War Tapes", http://video.ted.com/talks/podcast/audio/DeborahScranton_2007.mp3
172, John Maeda, John Maeda on the simple life, http://video.ted.com/talks/podcast/audio/JohnMaeda_2007.mp3
178, Carolyn Porco, Carolyn Porco flies us to Saturn, http://video.ted.com/talks/podcast/audio/CarolynPorco_2007.mp3
